actual_device,api_name,averages_bert_latency,averages_gemma_confidence,averages_gemma_latency,averages_levenshtein_latency,averages_regex_latency,chaos_level,chaos_metadata_drift_type,chaos_metadata_level,chaos_metadata_mutated_len,chaos_metadata_original_len,chaos_metadata_strategy,chaos_metadata_temperature,chaos_strategy,concurrency,detection_rate,device_cloud,device_device,device_hardware,drift_detected,drift_type_count,drift_types_extra_keys,drift_types_merged_fields,drift_types_missing_keys,drift_types_nested_corruption,drift_types_renamed_keys,drift_types_split_fields,drift_types_type_mismatch,drift_types_value_contradiction,elapsed_seconds,fallback_used,frequency_profile,p95_latency_ms,packet_count,packet_profile,packet_size,reconciled_ok,reconciliation_winner,recovery_score,repair_rate,resilience_P,resilience_P2,run_number,throughput_bytes_per_sec,throughput_pps,timing_us,total_runtime_sec
Apple_Silicon_arm,finnhub,0,1.0,0,0,0,high,split_fields,high,275,154,json,0.3177634041412095,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,1,0,0,0,0,0,0,0,2.390815,False,100hz,2390.815,1,short,30000,True,canonical,0.9715190358418817,1.0,0.44660427792834734,0.5447619623095376,2,100000000,0.41826741090381314,2390815,2.390815
Apple_Silicon_arm,finnhub,0,1.0,0,0,0,high,missing_keys,high,138,154,json,0.5153300077455237,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,0,1,0,0,0,0,0,0.770113,False,100hz,770.113,1,short,30000,True,canonical,0.9958197377246221,1.0,0.45630575660411443,0.554798232752311,3,100000000,1.2985107380345482,770113,0.770113
Apple_Silicon_arm,finnhub,0,1.0,0,0,0,high,type_mismatch,high,151,154,json,0.5083697622562502,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,0,0,0,0,0,1,0,0.117302,False,100hz,117.302,1,short,30000,True,canonical,0.9977142591309758,1.0,0.4964303729255796,0.5877910820458767,4,100000000,8.525003836251726,117302,0.117302
Apple_Silicon_arm,openmeteo,0,1.0,0,0,0,high,missing_keys,high,127,155,json,0.8152611521268848,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,0,1,0,0,0,0,0,0.115535,False,100hz,115.535,1,short,30000,True,canonical,0.9865409724833171,1.0,0.49491281647268803,0.5855844792830313,2,100000000,8.655385813822651,115535,0.115535
Apple_Silicon_arm,openmeteo,0,1.0,0,0,0,high,forced_rename,high,163,155,json,0.12034823010674867,json,1,1.0,local,MPS,Apple_Silicon_arm,True,2,1,0,1,0,0,0,0,0,0.115353,False,100hz,115.353,1,short,30000,True,canonical,0.9856477330658568,1.0,0.4948092775261082,0.5854226221952307,3,100000000,8.66904198417033,115353,0.115353
Apple_Silicon_arm,openmeteo,0,1.0,0,0,0,high,merged_fields,high,151,155,json,0.4896562876129744,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,1,0,0,0,0,0,0,0.101924,False,100hz,101.924,1,short,30000,True,canonical,0.9908219095189118,1.0,0.5021261573443067,0.5918560209219751,4,100000000,9.811231898277148,101924,0.101924
Apple_Silicon_arm,spacex,0,1.0,0,0,0,high,extra_keys,high,193,169,json,0.6061177143543132,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,1,0,0,0,0,0,0,0,0.112444,False,100hz,112.444,1,short,30000,True,canonical,0.9885760499306744,1.0,0.4966284467973476,0.5871639335100245,2,100000000,8.893315783856853,112444,0.112444
Apple_Silicon_arm,spacex,0,1.0,0,0,0,high,missing_keys,high,68,169,json,0.5478727474834116,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,0,1,0,0,0,0,0,0.110391,False,100hz,110.391,1,short,30000,True,canonical,0.9039698706327044,1.0,0.48061687635588923,0.5667566603912793,3,100000000,9.058709496245164,110391,0.110391
Apple_Silicon_arm,spacex,0,1.0,0,0,0,high,forced_rename,high,177,169,json,0.23290167745294035,json,1,1.0,local,MPS,Apple_Silicon_arm,True,2,1,0,1,0,0,0,0,0,0.109634,False,100hz,109.634,1,short,30000,True,canonical,0.9764235100247391,1.0,0.49545162102641926,0.5851515385237523,4,100000000,9.121258003903899,109634,0.109634
Apple_Silicon_arm,openf1,0,1.0,0,0,0,high,missing_keys,high,116,144,json,0.6116193778324399,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,0,1,0,0,0,0,0,0.104386,False,100hz,104.386,1,short,30000,True,canonical,0.9764267024857343,1.0,0.49797439841679125,0.5872159048284153,2,100000000,9.579828712662618,104386,0.104386
Apple_Silicon_arm,openf1,0,1.0,0,0,0,high,split_fields,high,169,144,json,0.6737520285708019,json,1,1.0,local,MPS,Apple_Silicon_arm,True,2,0,0,1,0,0,1,0,0,0.114344,False,100hz,114.344,1,short,30000,True,canonical,0.9939123863848905,1.0,0.49688294603791006,0.5878330255824397,3,100000000,8.745539774714896,114344,0.114344
Apple_Silicon_arm,openf1,0,1.0,0,0,0,high,extra_keys,high,172,144,json,0.5133651316626151,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,1,0,0,0,0,0,0,0,0.104092,False,100hz,104.092,1,short,30000,True,canonical,0.9927285985990306,1.0,0.5013835939080242,0.5914131376219361,4,100000000,9.606886216039657,104092,0.104092
Apple_Silicon_arm,finnhub,0,1.0,0,0,0,medium,merged_fields,medium,150,154,json,0.791511318189212,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,1,0,0,0,0,0,0,0.115973,False,100hz,115.973,1,short,30000,True,canonical,0.9900128083926152,1.0,0.4954273933203707,0.5863053370778473,2,100000000,8.622696662154121,115973,0.115973
Apple_Silicon_arm,finnhub,0,1.0,0,0,0,medium,type_mismatch,medium,151,154,json,0.1349598245613234,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,0,0,0,0,0,1,0,0.111427,False,100hz,111.427,1,short,30000,True,canonical,0.9977142591309758,1.0,0.49890252228308624,0.5898137497020184,3,100000000,8.974485537616557,111427,0.111427
Apple_Silicon_arm,finnhub,0,1.0,0,0,0,medium,type_mismatch,medium,63,154,json,0.7372157840829326,json,1,1.0,local,MPS,Apple_Silicon_arm,True,1,0,0,0,1,0,0,0,0,0.13162,False,100hz,131.62,1,short,30000,True,canonical,0.90220767898187,1.0,0.4722284982640841,0.5597412526735939,4,100000000,7.597629539583651,131620,0.13162
Apple_Silicon_arm,openmeteo,0,1.0,0,0,0,medium,split_fields,medium,187,155,json,0.808055375960106,json,1,1.0,local,MPS,Apple_Silicon_arm,True,2,0,0,1,0,0,1,0,0,0.113627,False,100hz,113.627,1,short,30000,True,canonical,0.976248611195125,1.0,0.49365371072767644,0.583665416107678,2,100000000,8.800725179754812,113627,0.113627
