Component_Type,Model_Architecture,MI250X_Latency_ms,GH200_Latency_ms,Latency_Speedup_x,MI250X_Throughput_pps,GH200_Throughput_pps,Throughput_Speedup_x,MI250X_GPU_Util,GH200_GPU_Util,GPU_Util_Diff
Reconciler,Levenshtein,0.34,0.255,1.33,2917.3,3880.0,1.33,0.0,0.0,0.0
Reconciler,Regex,0.62,0.465,1.33,1606.3,2136.4,1.33,0.0,0.0,0.0
Reconciler,BERT (1-GPU),36.75,27.5625,1.33,27.2,36.2,1.33,78.2,78.2,0.0
Reconciler,BERT (Multi-GPU),4.59,3.4425,1.33,217.7,289.5,1.33,94.5,94.5,0.0
Reconciler,BGE (1-GPU),38.53,28.8975,1.33,26.0,34.6,1.33,81.4,81.4,0.0
Reconciler,BGE (Multi-GPU),4.82,3.615,1.33,207.6,276.1,1.33,95.8,95.8,0.0
Reconciler,Cohere Embed,453.35,340.0125,1.33,2.2,2.9,1.32,0.0,0.0,0.0
Reconciler,Gemma4-E2B (1-GPU),3613.8,2710.35,1.33,0.3,0.4,1.33,98.5,98.5,0.0
Router,Logistic Regression,0.00014,0.00011,1.27,7142857.0,8928571.2,1.25,0.0,0.0,0.0
Router,Random Forest,0.00877,0.00702,1.25,114025.0,142531.2,1.25,0.0,0.0,0.0
Router,VQC Aer Simulator,10.889,8.7112,1.25,91.8,114.8,1.25,86.0,86.0,0.0
