drifted,expected,type,bert_correct,bert_result,bert_latency_ms,leven_correct,leven_result,leven_latency_ms,regex_correct,regex_result,regex_latency_ms
speeed,speed,Typo,False,gear_engaged,12.90115,True,speed,0.331394,False,unknown,0.117892
rmp,rpm,Typo,False,throttle,10.840218,True,rpm,0.226868,False,unknown,0.070183
throtle,throttle,Typo,True,throttle,8.596464,True,throttle,0.353172,False,unknown,0.065764
brak_temp,brake_temp,Typo,True,brake_temp,9.569322,True,brake_temp,0.353225,False,unknown,0.067833
enigne_temp,engine_temp,Typo,True,engine_temp,11.080568,True,engine_temp,0.375354,False,unknown,0.082883
oil_presure_psi,oil_pressure_psi,Typo,True,oil_pressure_psi,11.994894,True,oil_pressure_psi,0.50464,True,oil_pressure_psi,0.070185
spd,speed,Abbreviation,True,speed,10.908601,True,speed,0.218893,False,unknown,0.074878
brk_temp,brake_temp,Abbreviation,True,brake_temp,9.34579,True,brake_temp,0.380613,False,unknown,0.074644
eng_temp,engine_temp,Abbreviation,True,engine_temp,10.386458,True,engine_temp,0.340967,False,unknown,0.073131
coolant_temp_c,coolant_temperature_c,Abbreviation,True,coolant_temperature_c,11.265172,True,coolant_temperature_c,0.47429,True,coolant_temperature_c,0.061186
tyre_pres,tyre_pressure,Abbreviation,True,tyre_pressure,10.448533,True,tyre_pressure,0.39103,True,tyre_pressure,0.042301
steer_ang,steering_angle,Abbreviation,True,steering_angle,8.376487,True,steering_angle,0.387507,True,steering_angle,0.057576
hr,heart_rate,Abbreviation,True,heart_rate,7.872368,False,rpm,0.185479,False,unknown,0.060078
velocity_kph,speed,Synonym,True,speed,8.44984,False,engine_temp,0.418169,True,speed,0.03794
engine_revolutions,rpm,Synonym,True,rpm,9.958686,False,engine_temp,0.527568,True,rpm,0.037482
gas_pedal_pct,throttle,Synonym,False,tyre_pressure,9.843024,False,speed,0.489751,True,throttle,0.039304
disc_temperature,brake_temp,Synonym,True,brake_temp,9.706714,False,oil_temperature_c,0.449801,True,brake_temp,0.038342
motor_thermal_c,engine_temp,Synonym,True,engine_temp,8.036254,False,g_force_lateral,0.508158,True,engine_temp,0.015931
downforce_newtons,aero_load,Synonym,False,g_force_lateral,7.745654,False,g_force_lateral,0.477963,True,aero_load,0.033843
lubricant_thermal_deg,oil_temperature_c,Synonym,True,oil_temperature_c,11.717276,False,coolant_temperature_c,0.617346,True,oil_temperature_c,0.046147
gas_reserve_pct,fuel_level_percent,Synonym,False,coolant_temperature_c,10.194131,False,oil_pressure_psi,0.516551,True,fuel_level_percent,0.027031
driver_pulse_bpm,heart_rate,Synonym,True,heart_rate,9.676107,False,oil_pressure_psi,0.531396,True,heart_rate,0.058083
fuel_tank_remaining,fuel_level_percent,Synonym,True,fuel_level_percent,8.163835,False,brake_temp,0.56541,True,fuel_level_percent,0.060797
car.telemetry.speed_kph,speed,Namespace,True,speed,11.607118,False,coolant_temperature_c,0.638358,True,speed,0.060032
sensor.engine.rpm,rpm,Namespace,True,rpm,10.001665,False,engine_temp,0.523212,True,rpm,0.067735
telemetry.brake.front.psi,brake_pressure_front,Namespace,True,brake_pressure_front,9.27749,True,brake_pressure_front,0.614703,False,unknown,0.076392
vehicle.tyre.pressure,tyre_pressure,Namespace,True,tyre_pressure,9.74281,True,tyre_pressure,0.612412,False,unknown,0.072696
daq.ecu.canbus_raw,ecu_canbus,Namespace,True,ecu_canbus,10.536079,True,ecu_canbus,0.477578,True,ecu_canbus,0.059329
car.driver.heart_rate,heart_rate,Namespace,True,heart_rate,11.898646,True,heart_rate,0.602494,True,heart_rate,0.071279
sig_0x3F_lat,g_force_lateral,Obfuscated,False,coolant_temperature_c,12.081108,True,g_force_lateral,0.380132,False,unknown,0.084044
sys_clutch_val,clutch_position,Obfuscated,True,clutch_position,11.667495,True,clutch_position,0.436901,True,clutch_position,0.063486
ch12_analog_psi,oil_pressure_psi,Obfuscated,True,oil_pressure_psi,11.694017,False,ecu_canbus,0.460843,False,unknown,0.079949
pid_0x0C_rev,rpm,Obfuscated,False,brake_pressure_rear,12.201836,False,heart_rate,0.361203,True,rpm,0.083424
ecu_raw_0xA1,ecu_canbus,Obfuscated,True,ecu_canbus,12.733715,True,ecu_canbus,0.440826,True,ecu_canbus,0.080808
speed_mph,speed,Unit Variant,True,speed,9.495818,True,speed,0.3573,True,speed,0.054905
tyre_pressure_bar,tyre_pressure,Unit Variant,True,tyre_pressure,8.969637,True,tyre_pressure,0.510788,True,tyre_pressure,0.022821
oil_temp_fahrenheit,oil_temperature_c,Unit Variant,True,oil_temperature_c,10.010399,True,oil_temperature_c,0.569186,True,oil_temperature_c,0.049529
brake_temp_kelvin,brake_temp,Unit Variant,True,brake_temp,11.217214,True,brake_temp,0.470571,True,brake_temp,0.033574
coolant_temp_f,coolant_temperature_c,Unit Variant,True,coolant_temperature_c,11.600742,True,coolant_temperature_c,0.482551,True,coolant_temperature_c,0.060997
engine_temp_kelvin,engine_temp,Unit Variant,True,engine_temp,11.692757,True,engine_temp,0.477333,True,engine_temp,0.032408
lateral_force_g,g_force_lateral,Reorder,True,g_force_lateral,10.291646,False,oil_temperature_c,0.513469,True,g_force_lateral,0.054228
front_brake_pressure,brake_pressure_front,Reorder,True,brake_pressure_front,8.713,False,brake_pressure_rear,0.552206,True,brake_pressure_front,0.028047
rear_brake_pressure,brake_pressure_rear,Reorder,True,brake_pressure_rear,8.836871,True,brake_pressure_rear,0.526093,True,brake_pressure_rear,0.031535
angle_steering,steering_angle,Reorder,True,steering_angle,8.049615,True,steering_angle,0.454882,True,steering_angle,0.041867
position_clutch,clutch_position,Reorder,True,clutch_position,8.674464,True,clutch_position,0.423981,True,clutch_position,0.052004
eng_vel_rev_min,rpm,Compound,False,clutch_position,10.046644,False,fuel_level_percent,0.496264,True,rpm,0.072199
brk_frnt_psi,brake_pressure_front,Compound,False,oil_pressure_psi,12.158377,False,brake_temp,0.466332,False,unknown,0.086458
lube_press_pounds,oil_pressure_psi,Compound,False,tyre_pressure,12.295714,True,oil_pressure_psi,0.544903,False,unknown,0.100947
aero_dwnfrc_kn,aero_load,Compound,True,aero_load,11.545928,True,aero_load,0.485431,True,aero_load,0.072862
cool_h2o_temp,coolant_temperature_c,Compound,True,coolant_temperature_c,11.823638,True,coolant_temperature_c,0.42758,False,unknown,0.082003
spid,speed,Typo,False,gear_engaged,9.517101,True,speed,0.232643,False,unknown,0.067856
rpm_val,rpm,Typo,True,rpm,8.35951,True,rpm,0.338551,True,rpm,0.059083
prs_tyr,tyre_pressure,Abbreviation,False,engine_temp,8.052649,False,brake_pressure_rear,0.345357,False,unknown,0.059778
v_max,speed,Abbreviation,False,tyre_pressure,8.428976,False,aero_load,0.292496,False,unknown,0.065067
combustion_heat,engine_temp,Synonym,True,engine_temp,8.039305,False,clutch_position,0.457869,False,unknown,0.065242
inertial_force,g_force_lateral,Synonym,True,g_force_lateral,8.628894,False,heart_rate,0.481196,False,unknown,0.068907
fluid_depth,fuel_level_percent,Synonym,False,oil_pressure_psi,8.182319,True,fuel_level_percent,0.410217,False,unknown,0.063758
telemetry.oil.temp,oil_temperature_c,Namespace,True,oil_temperature_c,9.540157,False,engine_temp,0.493682,False,unknown,0.072071
id_0xFE_gear,gear_engaged,Obfuscated,True,gear_engaged,11.968099,True,gear_engaged,0.427407,True,gear_engaged,0.073583
